Year,Date,Audience,Opponent,Weekday,Average_Temperature (℃),Total_Precipitation (mm),Average_wind_speed(m/s)
2024,2024-08-02,40142,日本ハム,Friday,32.1,0.0,2.7
2024,2024-08-03,40142,日本ハム,Saturday,32.3,0.0,2.7
2024,2024-08-04,40142,日本ハム,Sunday,32.3,0.0,2.9
2024,2024-08-10,38955,楽天,Saturday,30.6,0.0,4.3
2024,2024-08-11,40142,楽天,Sunday,29.8,0.0,3.5
2024,2024-08-12,39732,楽天,Monday,29.6,0.0,3.4
2024,2024-08-16,40048,ロッテ,Friday,30.1,0.0,3.7
2024,2024-08-17,39640,ロッテ,Saturday,29.9,0.0,4.2
2024,2024-08-18,40021,ロッテ,Sunday,30.1,0.0,2.5
2024,2024-08-27,40142,オリックス,Tuesday,31.5,3.0,2.5
2024,2024-09-03,40142,日本ハム,Tuesday,28.4,0.0,3.5
2024,2024-09-04,40142,日本ハム,Wednesday,28.1,0.0,3.1
2024,2024-09-06,39937,西武,Friday,29.0,0.0,2.3
2024,2024-09-07,38751,西武,Saturday,29.4,0.0,2.3
2024,2024-09-08,39199,西武,Sunday,29.3,0.0,2.5
2024,2024-09-17,38153,日本ハム,Tuesday,30.5,0.0,2.3
2024,2024-09-18,40035,日本ハム,Wednesday,31.2,0.0,2.5
2024,2024-09-20,39345,オリックス,Friday,31.7,0.0,2.9
2024,2024-09-21,40142,楽天,Saturday,29.6,23.5,3.7
2024,2024-09-22,40142,楽天,Sunday,26.1,56.5,3.7
2024,2024-09-25,38235,西武,Wednesday,26.3,0.0,2.3
2024,2024-09-26,33333,西武,Thursday,27.1,0.0,2.7
2024,2024-09-30,34132,オリックス,Monday,26.3,0.0,2.4
2024,2024-10-01,35002,オリックス,Tuesday,26.4,0.0,2.2
2024,2024-10-03,36777,楽天,Thursday,20.8,4.0,1.1
2024,2024-10-04,39590,ロッテ,Friday,22.3,1.5,3.8
