Year,Date,Audience,Result,Score,Opponent,Pitcher,GameTime,Venue
2015,5月4日(月),34431,○,5 - 4,ロッテ,大隣,2:52,ヤフオクドーム
2015,5月5日(火),36009,○,4 - 3,ロッテ,寺原,3:36,ヤフオクドーム
2015,5月6日(水),34203,●,4 - 7,ロッテ,武田,3:25,ヤフオクドーム
2015,5月8日(金),28086,○,5 - 3,楽天,中田,3:15,ヤフオクドーム
2015,5月9日(土),38500,●,2 - 3,楽天,攝津,4:33,ヤフオクドーム
2015,5月10日(日),31147,○,10 - 1,楽天,スタンリッジ,3:22,ヤフオクドーム
2015,5月15日(金),31219,△,3 - 3,西武,武田,3:43,ヤフオクドーム
2015,5月16日(土),34088,○,12 - 4,西武,攝津,3:15,ヤフオクドーム
2015,5月17日(日),35388,○,4 - 1,西武,スタンリッジ,2:55,ヤフオクドーム
2015,5月19日(火),17855,●,5 - 8,オリックス,大隣,3:44,北九州
2015,5月20日(水),30638,○,3 - 2,オリックス,中田,3:32,ヤフオクドーム
2015,5月21日(木),31622,○,10 - 6,オリックス,武田,3:16,ヤフオクドーム
2015,5月29日(金),35632,○,7 - 4,ヤクルト,攝津,3:16,ヤフオクドーム
2015,5月30日(土),36432,●,3 - 5,ヤクルト,スタンリッジ,3:31,ヤフオクドーム
2015,5月31日(日),37000,○,5 - 2,ヤクルト,寺原,3:17,ヤフオクドーム
2015,6月9日(火),34453,○,5 - 0,阪神,大隣,3:31,ヤフオクドーム
2015,6月10日(水),35002,●,4 - 5,阪神,中田,3:15,ヤフオクドーム
2015,6月11日(木),32891,○,5 - 3,阪神,武田,4:25,ヤフオクドーム
2015,6月12日(金),38500,●,0 - 6,広島,攝津,2:57,ヤフオクドーム
2015,6月13日(土),38500,●,3 - 9,広島,スタンリッジ,3:51,ヤフオクドーム
2015,6月14日(日),38500,○,7 - 2,広島,バンデンハーク,3:02,ヤフオクドーム
2015,6月19日(金),38500,○,4 - 3,日本ハム,中田,3:59,ヤフオクドーム
2015,6月20日(土),38500,○,11 - 1,日本ハム,寺原,3:21,ヤフオクドーム
2015,6月21日(日),38500,○,4 - 2,日本ハム,バンデンハーク,3:31,ヤフオクドーム
2015,6月29日(月),46735,○,3 - 1,西武,武田,3:20,東京ドーム
2015,7月1日(水),38500,●,3 - 10,西武,スタンリッジ,3:01,ヤフオクドーム
2015,7月2日(木),38500,○,4 - 3,西武,バンデンハーク,3:19,ヤフオクドーム
2015,7月7日(火),38500,●,3 - 4,楽天,武田,3:21,ヤフオクドーム
2015,7月9日(木),35714,○,4 - 1,楽天,バンデンハーク,3:15,京セラD大阪
2015,7月20日(月),0,-,中止,ロッテ,,,北九州
2015,7月21日(火),38500,○,3 - 0,ロッテ,攝津,2:55,ヤフオクドーム
2015,7月22日(水),38500,○,4 - 1,ロッテ,スタンリッジ,2:46,ヤフオクドーム
2015,7月24日(金),38500,○,2 - 1,オリックス,バンデンハーク,2:38,ヤフオクドーム
2015,7月25日(土),38500,○,2 - 0,オリックス,武田,3:18,ヤフオクドーム
2015,7月26日(日),38500,●,1 - 5,オリックス,寺原,3:59,ヤフオクドーム
2015,8月4日(火),38500,○,7 - 2,日本ハム,中田,3:07,ヤフオクドーム
2015,8月5日(水),36745,○,4 - 3,日本ハム,スタンリッジ,4:14,ヤフオクドーム
2015,8月6日(木),36460,○,7 - 1,日本ハム,攝津,3:22,ヤフオクドーム
2015,8月11日(火),38500,○,7 - 6,オリックス,スタンリッジ,3:38,ヤフオクドーム
2015,8月12日(水),38396,●,2 - 3,オリックス,中田,3:36,ヤフオクドーム
2015,8月13日(木),36350,○,12 - 5,オリックス,攝津,3:21,ヤフオクドーム
2015,8月14日(金),36078,○,8 - 2,西武,バンデンハーク,3:32,ヤフオクドーム
2015,8月15日(土),35556,○,6 - 5,西武,武田,3:41,ヤフオクドーム
2015,8月16日(日),37407,●,4 - 6,西武,寺原,3:57,ヤフオクドーム
2015,8月25日(火),33388,○,7 - 4,ロッテ,寺原,2:47,ヤフオクドーム
2015,8月26日(水),36947,○,3 - 0,ロッテ,バンデンハーク,2:58,ヤフオクドーム
2015,8月28日(金),38500,●,1 - 11,日本ハム,中田,4:01,ヤフオクドーム
2015,8月29日(土),38500,○,5 - 4,日本ハム,武田,3:35,ヤフオクドーム
2015,8月30日(日),38500,△,2 - 2,日本ハム,スタンリッジ,4:49,ヤフオクドーム
2015,9月4日(金),38500,●,5 - 6,楽天,中田,3:33,ヤフオクドーム
2015,9月5日(土),38500,○,7 - 0,楽天,武田,3:20,ヤフオクドーム
2015,9月6日(日),38500,○,5 - 3,楽天,帆足,5:01,ヤフオクドーム
2015,9月17日(木),38500,○,5 - 3,西武,武田,3:37,ヤフオクドーム
2015,9月18日(金),32308,●,3 - 4,ロッテ,攝津,3:36,ヤフオクドーム
2015,9月19日(土),38500,○,2 - 0,ロッテ,中田,2:57,ヤフオクドーム
2015,9月20日(日),38500,○,1 - 0,ロッテ,千賀,2:49,ヤフオクドーム
2015,9月28日(月),35808,●,3 - 5,日本ハム,東浜,3:54,ヤフオクドーム
2015,9月29日(火),29705,●,5 - 10,楽天,寺原,3:43,ヤフオクドーム
2015,9月30日(水),28690,●,2 - 3,楽天,中田,3:32,ヤフオクドーム
2015,10月1日(木),32625,●,2 - 3,楽天,千賀,3:43,ヤフオクドーム
2016,3月29日(火),38500,●,2 - 6,西武,和田,3:33,ヤフオクドーム
2016,3月30日(水),34300,○,5 - 4,西武,千賀,3:22,ヤフオクドーム
2016,4月5日(火),35165,△,4 - 4,ロッテ,和田,4:29,ヤフオクドーム
2016,4月6日(水),30016,●,3 - 4,ロッテ,千賀,3:08,ヤフオクドーム
2016,4月7日(木),28407,●,8 - 17,ロッテ,攝津,3:42,ヤフオクドーム
2016,4月9日(土),14942,○,13 - 1,オリックス,バンデンハーク,3:19,鹿児島
2016,4月10日(日),12376,○,10 - 0,オリックス,武田,3:41,熊本
2016,4月15日(金),27871,○,3 - 2,楽天,東浜,2:51,ヤフオクドーム
2016,4月16日(土),0,-,中止,楽天,,,ヤフオクドーム
2016,4月17日(日),33720,○,9 - 7,楽天,武田,4:52,ヤフオクドーム
2016,4月23日(土),32646,●,2 - 4,日本ハム,千賀,3:49,ヤフオクドーム
2016,4月24日(日),35563,○,6 - 5,日本ハム,武田,3:43,ヤフオクドーム
2016,4月29日(金),35622,●,3 - 7,西武,中田,3:19,ヤフオクドーム
2016,4月30日(土),35115,△,4 - 4,西武,千賀,4:38,ヤフオクドーム
2016,5月1日(日),34886,○,6 - 3,西武,武田,3:03,ヤフオクドーム
2016,5月6日(金),30685,○,3 - 2,楽天,中田,3:21,ヤフオクドーム
2016,5月7日(土),38500,○,3 - 2,楽天,千賀,3:22,ヤフオクドーム
2016,5月8日(日),35714,○,3 - 1,楽天,武田,2:47,ヤフオクドーム
2016,5月10日(火),29160,○,2 - 1,ロッテ,バンデンハーク,2:21,ヤフオクドーム
2016,5月11日(水),30335,○,9 - 5,ロッテ,和田,2:45,ヤフオクドーム
2016,5月12日(木),32020,●,2 - 3,ロッテ,東浜,3:15,ヤフオクドーム
2016,5月17日(火),18603,●,2 - 7,日本ハム,バンデンハーク,3:22,北九州
2016,5月18日(水),36101,○,6 - 2,日本ハム,和田,3:30,ヤフオクドーム
2016,5月19日(木),34909,●,6 - 8,日本ハム,東浜,4:19,ヤフオクドーム
2016,5月24日(火),32275,○,22 - 6,オリックス,バンデンハーク,4:05,ヤフオクドーム
2016,5月25日(水),32112,○,5 - 2,オリックス,和田,2:50,ヤフオクドーム
2016,5月26日(木),33907,○,4 - 3,オリックス,中田,3:34,ヤフオクドーム
2016,5月31日(火),34553,○,5 - 2,中日,バンデンハーク,3:27,ヤフオクドーム
2016,6月1日(水),35045,●,0 - 5,中日,和田,2:45,ヤフオクドーム
2016,6月2日(木),34693,○,6 - 2,中日,中田,3:23,ヤフオクドーム
2016,6月7日(火),34028,○,6 - 3,DeNA,山田,3:12,ヤフオクドーム
2016,6月8日(水),35761,○,4 - 1,DeNA,和田,3:20,ヤフオクドーム
2016,6月9日(木),33632,○,4 - 2,DeNA,中田,3:09,ヤフオクドーム
2016,6月10日(金),37618,○,2 - 1,巨人,東浜,3:12,ヤフオクドーム
2016,6月11日(土),38500,○,8 - 3,巨人,千賀,3:22,ヤフオクドーム
2016,6月12日(日),38500,○,7 - 5,巨人,武田,2:41,ヤフオクドーム
2016,6月27日(月),46776,●,6 - 9,ロッテ,武田,3:24,東京ドーム
2016,6月29日(水),38043,○,7 - 6,ロッテ,千賀,3:58,ヤフオクドーム
2016,6月30日(木),38027,○,2 - 1,ロッテ,岩嵜,3:00,ヤフオクドーム
2016,7月1日(金),38389,●,2 - 5,日本ハム,和田,3:15,ヤフオクドーム
2016,7月2日(土),38500,●,0 - 4,日本ハム,東浜,3:09,ヤフオクドーム
2016,7月3日(日),38500,●,0 - 2,日本ハム,中田,3:08,ヤフオクドーム
2016,7月8日(金),35237,●,2 - 3,楽天,和田,3:02,ヤフオクドーム
2016,7月9日(土),36617,○,6 - 2,楽天,東浜,3:32,ヤフオクドーム
2016,7月10日(日),38500,○,6 - 2,楽天,大隣,3:22,ヤフオクドーム
2016,7月18日(月),38500,●,0 - 6,オリックス,東浜,3:25,ヤフオクドーム
2016,7月19日(火),38500,●,0 - 4,オリックス,武田,3:09,ヤフオクドーム
2016,7月20日(水),21290,○,2 - 1,オリックス,中田,2:57,北九州
2016,7月22日(金),38500,○,5 - 2,西武,和田,3:03,ヤフオクドーム
2016,7月23日(土),38500,●,1 - 3,西武,千賀,3:33,ヤフオクドーム
2016,7月24日(日),38500,○,4 - 3,西武,岩嵜,3:23,ヤフオクドーム
2016,8月5日(金),37093,○,3 - 2,日本ハム,和田,2:37,ヤフオクドーム
2016,8月6日(土),38500,●,1 - 8,日本ハム,千賀,3:31,ヤフオクドーム
2016,8月7日(日),38500,●,3 - 8,日本ハム,中田,3:40,ヤフオクドーム
2016,8月16日(火),38500,●,4 - 6,西武,武田,3:17,ヤフオクドーム
2016,8月18日(木),35770,●,3 - 6,西武,東浜,3:06,京セラD大阪
2016,8月23日(火),38500,●,2 - 3,楽天,武田,3:58,ヤフオクドーム
2016,8月24日(水),37936,○,5 - 0,楽天,中田,3:24,ヤフオクドーム
2016,8月25日(木),36330,●,5 - 7,楽天,東浜,3:51,ヤフオクドーム
2016,8月26日(金),36354,○,11 - 3,ロッテ,和田,3:03,ヤフオクドーム
2016,8月27日(土),38500,○,14 - 3,ロッテ,千賀,3:18,ヤフオクドーム
2016,8月28日(日),38500,●,5 - 7,ロッテ,岩嵜,3:33,ヤフオクドーム
2016,9月6日(火),37502,●,1 - 2,オリックス,武田,3:29,ヤフオクドーム
2016,9月7日(水),38500,○,2 - 1,オリックス,中田,2:46,ヤフオクドーム
2016,9月10日(土),37866,●,2 - 7,西武,千賀,3:07,ヤフオクドーム
2016,9月11日(日),38500,○,8 - 5,西武,攝津,3:15,ヤフオクドーム
2016,9月17日(土),38500,○,6 - 3,オリックス,和田,3:29,ヤフオクドーム
2016,9月18日(日),38500,○,8 - 5,オリックス,バンデンハーク,3:09,ヤフオクドーム
2016,9月19日(月),38500,△,3 - 3,オリックス,中田,4:58,ヤフオクドーム
2016,9月21日(水),38500,●,1 - 2,日本ハム,千賀,3:25,ヤフオクドーム
2016,9月22日(木),38500,●,2 - 5,日本ハム,武田,3:56,ヤフオクドーム
2016,9月30日(金),35473,○,8 - 2,楽天,中田,3:01,ヤフオクドーム
2017,3月31日(金),38585,○,3 - 1,ロッテ,和田,2:41,ヤフオクドーム
2017,4月1日(土),38270,○,4 - 1,ロッテ,中田,3:06,ヤフオクドーム
2017,4月2日(日),38585,○,5 - 3,ロッテ,東浜,2:53,ヤフオクドーム
2017,4月14日(金),30748,●,0 - 9,オリックス,中田,2:43,ヤフオクドーム
2017,4月15日(土),37616,●,6 - 7,オリックス,攝津,4:06,ヤフオクドーム
2017,4月16日(日),0,-,中止,オリックス,,,鹿児島
2017,4月21日(金),30142,○,4 - 3,楽天,中田,4:50,ヤフオクドーム
2017,4月22日(土),33223,●,2 - 11,楽天,大隣,3:24,ヤフオクドーム
2017,4月23日(日),35400,●,1 - 2,楽天,寺原,4:01,ヤフオクドーム
2017,4月25日(火),17524,○,7 - 5,日本ハム,千賀,3:23,北九州
2017,4月26日(水),31049,○,4 - 1,日本ハム,東浜,3:28,ヤフオクドーム
2017,4月27日(木),29721,●,4 - 5,日本ハム,バンデンハーク,3:46,ヤフオクドーム
2017,5月2日(火),35006,○,14 - 4,西武,千賀,3:20,ヤフオクドーム
2017,5月3日(水),38585,○,6 - 2,西武,東浜,3:01,ヤフオクドーム
2017,5月4日(木),38585,○,9 - 6,西武,バンデンハーク,3:27,ヤフオクドーム
2017,5月9日(火),29444,○,2 - 1,オリックス,千賀,2:27,ヤフオクドーム
2017,5月10日(水),31367,○,3 - 2,オリックス,東浜,3:41,ヤフオクドーム
2017,5月11日(木),30313,○,7 - 0,オリックス,バンデンハーク,3:34,ヤフオクドーム
2017,5月13日(土),12922,○,3 - 2,楽天,中田,3:29,熊本
2017,5月14日(日),38585,●,2 - 9,楽天,寺原,3:28,ヤフオクドーム
2017,5月23日(火),33301,○,6 - 1,ロッテ,東浜,3:00,ヤフオクドーム
2017,5月24日(水),31627,○,10 - 4,ロッテ,攝津,3:21,ヤフオクドーム
2017,5月25日(木),34247,●,7 - 12,ロッテ,中田,3:21,ヤフオクドーム
2017,5月30日(火),32784,○,10 - 2,中日,東浜,3:08,ヤフオクドーム
2017,5月31日(水),32278,○,7 - 2,中日,石川,3:10,ヤフオクドーム
2017,6月1日(木),29034,●,1 - 5,中日,中田,3:19,ヤフオクドーム
2017,6月6日(火),32475,○,2 - 1,ヤクルト,東浜,3:20,ヤフオクドーム
2017,6月7日(水),32955,○,4 - 1,ヤクルト,石川,2:42,ヤフオクドーム
2017,6月8日(木),32125,○,15 - 0,ヤクルト,中田,3:28,ヤフオクドーム
2017,6月9日(金),36491,○,3 - 0,阪神,バンデンハーク,2:48,ヤフオクドーム
2017,6月10日(土),38585,●,1 - 5,阪神,松本裕,3:34,ヤフオクドーム
2017,6月11日(日),38585,○,5 - 2,阪神,山田,3:42,ヤフオクドーム
2017,6月23日(金),36637,○,10 - 0,西武,東浜,2:50,ヤフオクドーム
2017,6月24日(土),37500,●,2 - 3,西武,松本裕,3:33,ヤフオクドーム
2017,6月25日(日),37745,○,7 - 6,西武,バンデンハーク,3:24,ヤフオクドーム
2017,6月27日(火),34004,○,6 - 0,日本ハム,石川,2:36,ヤフオクドーム
2017,6月28日(水),34708,○,6 - 5,日本ハム,武田,3:26,ヤフオクドーム
2017,6月29日(木),35386,○,1 - 0,日本ハム,松本裕,3:20,ヤフオクドーム
2017,7月4日(火),31265,○,4 - 0,オリックス,石川,2:35,ヤフオクドーム
2017,7月5日(水),32773,○,5 - 3,オリックス,武田,3:06,ヤフオクドーム
2017,7月11日(火),36140,●,4 - 5,楽天,石川,3:50,ヤフオクドーム
2017,7月12日(水),36497,●,0 - 2,楽天,松本裕,3:23,ヤフオクドーム
2017,7月17日(月),38585,○,3 - 1,西武,東浜,2:51,ヤフオクドーム
2017,7月18日(火),38585,○,3 - 1,西武,バンデンハーク,3:14,ヤフオクドーム
2017,7月19日(水),21500,○,10 - 6,西武,松本裕,3:33,北九州
2017,7月21日(金),38585,○,2 - 1,ロッテ,千賀,3:27,ヤフオクドーム
2017,7月22日(土),38585,○,2 - 0,ロッテ,武田,2:29,ヤフオクドーム
2017,7月23日(日),38585,●,1 - 3,ロッテ,中田,3:18,ヤフオクドーム
2017,7月29日(土),38585,○,4 - 0,日本ハム,千賀,2:32,ヤフオクドーム
2017,7月30日(日),38585,○,4 - 3,日本ハム,武田,2:58,ヤフオクドーム
2017,7月31日(月),46808,○,5 - 3,日本ハム,松本裕,3:20,東京ドーム
2017,8月12日(土),38585,○,1 - 0,日本ハム,千賀,3:03,ヤフオクドーム
2017,8月13日(日),38585,○,3 - 2,日本ハム,武田,3:18,ヤフオクドーム
2017,8月14日(月),35961,●,1 - 7,日本ハム,松本裕,3:37,京セラD大阪
2017,8月15日(火),37865,○,5 - 3,オリックス,バンデンハーク,3:08,ヤフオクドーム
2017,8月16日(水),37690,○,2 - 1,オリックス,石川,2:53,ヤフオクドーム
2017,8月22日(火),38585,○,7 - 0,西武,バンデンハーク,2:45,ヤフオクドーム
2017,8月23日(水),37140,○,9 - 0,西武,石川,2:15,ヤフオクドーム
2017,8月24日(木),36164,○,10 - 1,西武,中田,2:44,ヤフオクドーム
2017,8月25日(金),35926,●,3 - 10,ロッテ,東浜,3:54,ヤフオクドーム
2017,8月26日(土),38585,●,3 - 6,ロッテ,千賀,3:41,ヤフオクドーム
2017,8月27日(日),38585,○,3 - 0,ロッテ,和田,2:38,ヤフオクドーム
2017,9月1日(金),38184,○,2 - 0,楽天,東浜,3:04,ヤフオクドーム
2017,9月2日(土),38585,○,3 - 1,楽天,千賀,2:52,ヤフオクドーム
2017,9月3日(日),38585,○,1 - 0,楽天,和田,2:38,ヤフオクドーム
2017,9月13日(水),37805,●,2 - 5,オリックス,バンデンハーク,3:01,ヤフオクドーム
2017,9月14日(木),38585,○,7 - 4,オリックス,中田,3:31,ヤフオクドーム
2017,9月23日(土),38585,●,1 - 3,楽天,東浜,3:45,ヤフオクドーム
2017,9月24日(日),38585,○,4 - 3,楽天,攝津,2:49,ヤフオクドーム
2017,9月25日(月),32444,●,2 - 10,楽天,千賀,2:58,ヤフオクドーム
2017,9月26日(火),31589,●,3 - 4,ロッテ,和田,2:54,ヤフオクドーム
2017,9月28日(木),33154,○,8 - 5,西武,武田,3:33,ヤフオクドーム
2017,10月6日(金),35805,○,4 - 3,オリックス,千賀,3:54,ヤフオクドーム
2018,3月30日(金),38530,○,2 - 0,オリックス,千賀,2:46,ヤフオクドーム
2018,3月31日(土),38530,●,4 - 8,オリックス,武田,3:29,ヤフオクドーム
2018,4月1日(日),38325,○,12 - 3,オリックス,中田,3:53,ヤフオクドーム
2018,4月10日(火),31774,●,1 - 4,日本ハム,東浜,3:29,ヤフオクドーム
2018,4月11日(水),32255,○,8 - 5,日本ハム,バンデンハーク,3:30,ヤフオクドーム
2018,4月12日(木),30861,○,3 - 0,日本ハム,石川,2:32,ヤフオクドーム
2018,4月14日(土),0,-,中止,ロッテ,,,熊本
2018,4月15日(日),19124,○,7 - 6,ロッテ,中田,3:30,鹿児島
2018,4月17日(火),31586,○,5 - 3,楽天,東浜,3:10,ヤフオクドーム
2018,4月18日(水),32491,○,5 - 2,楽天,バンデンハーク,3:01,ヤフオクドーム
2018,4月19日(木),31931,●,1 - 3,楽天,石川,2:26,ヤフオクドーム
2018,4月24日(火),0,-,中止,西武,,,北九州
2018,4月25日(水),37921,●,6 - 12,西武,バンデンハーク,3:41,ヤフオクドーム
2018,4月26日(木),36219,○,4 - 1,西武,石川,2:27,ヤフオクドーム
2018,5月4日(金),38530,●,4 - 5,オリックス,東浜,3:23,ヤフオクドーム
2018,5月5日(土),38530,○,3 - 0,オリックス,武田,2:35,ヤフオクドーム
2018,5月6日(日),38530,●,2 - 5,オリックス,中田,3:19,ヤフオクドーム
2018,5月11日(金),37562,●,4 - 5,日本ハム,東浜,4:09,ヤフオクドーム
2018,5月12日(土),38530,●,3 - 5,日本ハム,バンデンハーク,3:26,ヤフオクドーム
2018,5月13日(日),38530,○,8 - 0,日本ハム,武田,2:40,ヤフオクドーム
2018,5月22日(火),38489,○,5 - 3,西武,攝津,3:12,ヤフオクドーム
2018,5月23日(水),36717,●,1 - 2,西武,石川,3:09,ヤフオクドーム
2018,5月24日(木),37067,●,5 - 12,西武,中田,3:46,ヤフオクドーム
2018,5月25日(金),36011,●,4 - 6,楽天,東浜,3:26,ヤフオクドーム
2018,5月26日(土),34721,○,4 - 3,楽天,バンデンハーク,3:13,ヤフオクドーム
2018,5月27日(日),35020,●,4 - 8,楽天,武田,3:06,ヤフオクドーム
2018,6月1日(金),37011,○,6 - 2,DeNA,千賀,2:39,ヤフオクドーム
2018,6月2日(土),35705,○,5 - 4,DeNA,バンデンハーク,3:32,ヤフオクドーム
2018,6月3日(日),36640,○,7 - 5,DeNA,武田,3:33,ヤフオクドーム
2018,6月12日(火),36828,●,2 - 8,巨人,武田,3:08,ヤフオクドーム
2018,6月13日(水),36780,○,4 - 2,巨人,攝津,2:59,ヤフオクドーム
2018,6月14日(木),36289,●,4 - 6,巨人,石川,3:17,ヤフオクドーム
2018,6月15日(金),36697,○,8 - 0,広島,千賀,3:10,ヤフオクドーム
2018,6月16日(土),38530,○,6 - 2,広島,バンデンハーク,2:55,ヤフオクドーム
2018,6月17日(日),38530,●,4 - 13,広島,中田,3:14,ヤフオクドーム
2018,6月29日(金),38530,○,6 - 5,ロッテ,中田,3:39,ヤフオクドーム
2018,6月30日(土),37986,●,2 - 5,ロッテ,石川,3:14,ヤフオクドーム
2018,7月1日(日),38027,●,1 - 4,ロッテ,バンデンハーク,3:26,ヤフオクドーム
2018,7月9日(月),45068,●,1 - 10,日本ハム,石川,3:28,東京ドーム
2018,7月10日(火),45380,●,0 - 12,日本ハム,武田,3:53,東京ドーム
2018,7月16日(月),38530,○,16 - 4,西武,千賀,3:10,ヤフオクドーム
2018,7月17日(火),38530,○,6 - 1,西武,石川,3:00,ヤフオクドーム
2018,7月18日(水),21513,●,5 - 12,西武,武田,3:09,北九州
2018,7月24日(火),33072,△,10 - 10,ロッテ,千賀,5:45,京セラD大阪
2018,7月26日(木),37598,○,6 - 5,ロッテ,石川,3:35,ヤフオクドーム
2018,7月27日(金),38530,●,5 - 6,楽天,バンデンハーク,4:25,ヤフオクドーム
2018,7月28日(土),38530,●,1 - 7,楽天,攝津,2:58,ヤフオクドーム
2018,7月29日(日),38530,○,4 - 0,楽天,武田,2:53,ヤフオクドーム
2018,8月3日(金),33546,○,5 - 3,オリックス,バンデンハーク,3:07,ヤフオクドーム
2018,8月4日(土),33484,●,2 - 3,オリックス,松本裕,4:02,ヤフオクドーム
2018,8月5日(日),33456,●,4 - 6,オリックス,武田,3:17,ヤフオクドーム
2018,8月10日(金),35816,○,5 - 0,日本ハム,千賀,3:08,ヤフオクドーム
2018,8月11日(土),37643,●,1 - 3,日本ハム,大竹,3:21,ヤフオクドーム
2018,8月12日(日),37954,○,11 - 5,日本ハム,松本裕,3:21,ヤフオクドーム
2018,8月14日(火),37213,○,2 - 1,楽天,東浜,2:58,ヤフオクドーム
2018,8月15日(水),34778,○,6 - 3,楽天,バンデンハーク,3:23,ヤフオクドーム
2018,8月16日(木),34032,●,2 - 3,楽天,武田,3:06,ヤフオクドーム
2018,8月24日(金),36670,○,3 - 2,西武,千賀,2:49,ヤフオクドーム
2018,8月25日(土),37681,○,5 - 1,西武,ミランダ,2:47,ヤフオクドーム
2018,8月26日(日),38530,○,12 - 8,西武,大竹,4:48,ヤフオクドーム
2018,8月28日(火),36487,●,1 - 2,ロッテ,東浜,3:37,ヤフオクドーム
2018,8月29日(水),35365,○,7 - 0,ロッテ,松本裕,3:02,ヤフオクドーム
2018,9月7日(金),38530,●,1 - 3,オリックス,千賀,2:32,ヤフオクドーム
2018,9月8日(土),37196,○,12 - 0,オリックス,ミランダ,3:22,ヤフオクドーム
2018,9月9日(日),38045,○,1 - 0,オリックス,バンデンハーク,3:32,ヤフオクドーム
2018,9月22日(土),35958,○,6 - 4,オリックス,千賀,3:13,ヤフオクドーム
2018,9月23日(日),38530,○,2 - 0,日本ハム,ミランダ,3:11,ヤフオクドーム
2018,9月24日(月),37801,○,2 - 1,日本ハム,大竹,2:52,ヤフオクドーム
2018,9月30日(日),33047,●,1 - 9,ロッテ,大竹,3:01,ヤフオクドーム
2018,10月1日(月),31265,●,1 - 6,ロッテ,松本裕,2:56,ヤフオクドーム
2018,10月2日(火),30814,○,4 - 2,ロッテ,東浜,2:44,ヤフオクドーム
2018,10月3日(水),33565,○,10 - 2,ロッテ,高橋礼,3:28,ヤフオクドーム
2018,10月6日(土),38530,○,8 - 3,西武,高橋礼,3:17,ヤフオクドーム
2019,3月29日(金),40178,○,5 - 4,西武,千賀,4:15,ヤフオクドーム
2019,3月30日(土),38966,○,6 - 5,西武,ミランダ,3:34,ヤフオクドーム
2019,3月31日(日),37875,○,3 - 1,西武,高橋礼,2:48,ヤフオクドーム
2019,4月5日(金),35185,●,3 - 7,ロッテ,千賀,4:14,ヤフオクドーム
2019,4月6日(土),35007,●,3 - 7,ロッテ,ミランダ,3:13,ヤフオクドーム
2019,4月7日(日),40112,○,11 - 1,ロッテ,高橋礼,2:56,ヤフオクドーム
2019,4月9日(火),17742,△,3 - 3,日本ハム,東浜,4:15,長崎
2019,4月10日(水),36797,●,2 - 3,日本ハム,大竹,4:07,ヤフオクドーム
2019,4月11日(木),37694,○,5 - 2,日本ハム,武田,3:13,ヤフオクドーム
2019,4月22日(月),43063,○,3 - 1,オリックス,東浜,3:12,東京ドーム
2019,4月24日(水),37954,●,2 - 3,オリックス,武田,3:07,ヤフオクドーム
2019,4月25日(木),36882,○,3 - 0,オリックス,大竹,3:14,ヤフオクドーム
2019,5月1日(水),40178,●,0 - 9,楽天,武田,3:40,ヤフオクドーム
2019,5月2日(木),39732,○,1 - 0,楽天,大竹,3:08,ヤフオクドーム
2019,5月3日(金),39486,○,12 - 11,楽天,武田,4:55,ヤフオクドーム
2019,5月4日(土),39131,○,4 - 0,オリックス,千賀,3:23,ヤフオクドーム
2019,5月5日(日),38049,○,7 - 2,オリックス,ミランダ,2:41,ヤフオクドーム
2019,5月6日(月),39216,○,9 - 6,オリックス,東浜,3:05,ヤフオクドーム
2019,5月10日(金),34489,●,1 - 9,ロッテ,武田,3:01,ヤフオクドーム
2019,5月11日(土),40178,○,4 - 2,ロッテ,千賀,3:28,ヤフオクドーム
2019,5月12日(日),40178,●,4 - 5,ロッテ,ミランダ,3:50,ヤフオクドーム
2019,5月14日(火),20852,●,7 - 11,西武,椎野,4:18,北九州
2019,5月15日(水),39066,●,4 - 5,西武,大竹,3:35,ヤフオクドーム
2019,5月16日(木),38282,○,5 - 1,西武,高橋礼,2:24,ヤフオクドーム
2019,5月18日(土),14020,○,2 - 1,日本ハム,千賀,3:05,熊本
2019,5月19日(日),19131,○,4 - 2,日本ハム,ミランダ,1:53,鹿児島
2019,5月31日(金),39280,●,1 - 3,楽天,千賀,3:17,ヤフオクドーム
2019,6月1日(土),36689,●,5 - 6,楽天,高橋礼,3:18,ヤフオクドーム
2019,6月2日(日),38142,●,1 - 4,楽天,スアレス,3:37,ヤフオクドーム
2019,6月4日(火),36546,○,6 - 4,中日,バンデンハーク,2:58,ヤフオクドーム
2019,6月5日(水),37424,○,5 - 2,中日,和田,2:43,ヤフオクドーム
2019,6月6日(木),36241,○,6 - 4,中日,大竹,3:04,ヤフオクドーム
2019,6月11日(火),34423,△,2 - 2,阪神,ミランダ,4:42,ヤフオクドーム
2019,6月12日(水),35622,●,2 - 8,阪神,和田,3:18,ヤフオクドーム
2019,6月13日(木),34591,○,3 - 0,阪神,大竹,2:26,ヤフオクドーム
2019,6月14日(金),36453,●,4 - 5,DeNA,千賀,3:32,ヤフオクドーム
2019,6月15日(土),40178,○,4 - 3,DeNA,高橋礼,3:13,ヤフオクドーム
2019,6月16日(日),39753,△,2 - 2,DeNA,二保,3:46,ヤフオクドーム
2019,7月2日(火),34232,○,8 - 6,楽天,高橋礼,3:11,ヤフオクドーム
2019,7月3日(水),33291,○,4 - 1,楽天,和田,3:05,ヤフオクドーム
2019,7月4日(木),34374,○,6 - 3,楽天,千賀,3:35,ヤフオクドーム
2019,7月8日(月),46824,○,8 - 7,西武,ミランダ,5:21,東京ドーム
2019,7月9日(火),36972,○,3 - 2,西武,高橋礼,2:59,ヤフオクドーム
